cause,count,cause_translated
Falta de Atenção à Condução,9778,Lack of driving attention
Velocidade Incompatível,9258,Incompatible speed
Condutor Dormindo,2784,Sleeping driver
Ausência de reação do condutor,1908,Lack of driver reaction
Defeito Mecânico no Veículo,1870,Mechanical defect in the vehicle
Desobediência às normas de trânsito pelo condutor,1767,Disobedience to traffic rules by the driver
Reação tardia ou ineficiente do condutor,1748,Late or inefficient reaction of the driver
Pista Escorregadia,1646,Slippery track
Não guardar distância de segurança,1499,Do not keep security distance
Ingestão de Álcool,1446,Alcohol intake
Acessar a via sem observar a presença dos outros veículos,924,Access the road without observing the presence of other vehicles
Animais na Pista,918,Animals on the track
Ultrapassagem Indevida,895,Undue overtaking
Condutor deixou de manter distância do veículo da frente,879,Driver stopped maintaining distance from the front vehicle
Avarias e/ou desgaste excessivo no pneu,825,Defaults and/or excessive tire wear
Demais falhas mecânicas ou elétricas,813,Other mechanical or electrical failures
Ingestão de álcool pelo condutor,727,Alcohol intake by the driver
Falta de Atenção do Pedestre,698,Lack of pedestrian attention
Manobra de mudança de faixa,635,Track change maneuver
Chuva,477,Rain
Transitar na contramão,434,Transit the opposite
Mal Súbito,413,Sudden death
Objeto estático sobre o leito carroçável,374,Static object over the wagon bed
Carga excessiva e/ou mal acondicionada,336,Excessive and/or poorly packed load
Desrespeitar a preferência no cruzamento,272,Disrespect the preference at the intersection
Restrição de Visibilidade,252,Visibility Restriction
Defeito na Via,246,Defect on the road
Conversão proibida,227,Prohibited conversion
Pedestre andava na pista,189,Pedestrian walked on the track
Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,159,Ingestion of alcohol and/or psychoactive substances by the pedestrian
Pista esburacada,155,Bumpy track
Mal súbito do condutor,148,Driver's sudden illness
Fenômenos da Natureza,147,Nature Phenomena
Entrada inopinada do pedestre,144,INOPINATED PEDESTRIAL INPUT
Pedestre cruzava a pista fora da faixa,142,Pedestrian crossed the track outside the track
Acumulo de água sobre o pavimento,134,Water accumulation on the road
Transitar no acostamento,113,Side
Trafegar com motocicleta (ou similar) entre as faixas,110,Travel with motorcycle (or similar) between the lanes
Acesso irregular,102,Irregular access
Agressão Externa,100,External aggression
Demais falhas na via,96,Other flaws on the road
Sinalização da via insuficiente ou inadequada,93,Insufficient or inadequate road signaling
Frear bruscamente,83,Abrupt braking
Problema com o freio,83,Brake problem
Curva acentuada,83,Sharp turn
Retorno proibido,76,Prohibited return
Acumulo de areia ou detritos sobre o pavimento,72,Accumulation of sand or debris on the road
Acumulo de óleo sobre o pavimento,71,Oil accumulation on the road
Desobediência às normas de trânsito pelo pedestre,60,Disobedience to pedestrian traffic rules
Afundamento ou ondulação no pavimento,56,Sinking or waking on the road
Condutor usando celular,52,Conductor using cell phone
Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo,46,Deficiency or not activation of the lighting system/signaling of the vehicle
Obras na pista,43,Works on the track
Ausência de sinalização,41,Absence of signaling
Estacionar ou parar em local proibido,37,Park or stop in a forbidden place
Acostamento em desnível,36,Uncertaintra
Demais Fenômenos da natureza,31,Other Phenomena of Nature
Deficiência do Sistema de Iluminação/Sinalização,28,Lighting/Signaling System deficiency
Área urbana sem a presença de local apropriado para a travessia de pedestres,25,Urban area without the presence of appropriate place for pedestrian crossing
Obstrução na via,24,Obstruction on the road
Falta de acostamento,22,Absence of emergency lane
Ingestão de substâncias psicoativas pelo condutor,21,Ingestion of psychoactive substances by the conductor
Ingestão de Substâncias Psicoativas,21,Ingestion of psychoactive substances
Problema na suspensão,20,Suspension Problem
Falta de elemento de contenção que evite a saída do leito carroçável,18,Lack of containment element that avoids leaving the wagon bed
Declive acentuado,17,Steep slope
Sinalização mal posicionada,16,Poor Signaling
Desvio temporário,16,Temporary deviation
Iluminação deficiente,15,Poor lighting
Ingestão de álcool ou de substâncias psicoativas pelo pedestre,15,Ingestion of alcohol or psychoactive substances by the pedestrian
Neblina,15,Fog
Pista em desnível,15,Uneven track
Fumaça,10,Smoke
Restrição de visibilidade em curvas verticais,5,Visibility restriction on vertical curves
Restrição de visibilidade em curvas horizontais,5,Visibility restriction on horizontal curves
Deixar de acionar o farol da motocicleta (ou similar),4,Failure to trigger the motorcycle headlight (or similar)
Faixas de trânsito com largura insuficiente,4,Traffic lanes with insufficient width
Sistema de drenagem ineficiente,2,Inefficient drainage system
Transitar na calçada,2,Sidewalk
Redutor de velocidade em desacordo,1,Disagreement Speed Reducer
Participar de racha,1,Participate in a race
Faróis desregulados,1,Deregulated headlights
Sinalização encoberta,1,Cover Signaling
