city,year,total_traffic_accidents,city_code,city_latitude,city_longitude
Abadia dos Dourados,2010,4,1344,-18.483101,-47.391623
Abadia dos Dourados,2011,2,1344,-18.483101,-47.391623
Abadia dos Dourados,2012,1,1344,-18.483101,-47.391623
Abadia dos Dourados,2013,1,1344,-18.483101,-47.391623
Abadia dos Dourados,2014,2,1344,-18.483101,-47.391623
Abadia dos Dourados,2017,4,1344,-18.483101,-47.391623
Abadia dos Dourados,2019,4,1344,-18.483101,-47.391623
Abadia dos Dourados,2020,1,1344,-18.483101,-47.391623
Abadia dos Dourados,2021,1,1344,-18.483101,-47.391623
Abaeté,2010,5,1345,-19.155125,-45.444413
Abaeté,2011,5,1345,-19.155125,-45.444413
Abaeté,2012,3,1345,-19.155125,-45.444413
Abaeté,2013,6,1345,-19.155125,-45.444413
Abaeté,2014,3,1345,-19.155125,-45.444413
Abaeté,2015,3,1345,-19.155125,-45.444413
Abaeté,2016,4,1345,-19.155125,-45.444413
Abaeté,2017,5,1345,-19.155125,-45.444413
Abaeté,2018,3,1345,-19.155125,-45.444413
Abaeté,2019,1,1345,-19.155125,-45.444413
Abaeté,2020,5,1345,-19.155125,-45.444413
Abaeté,2021,3,1345,-19.155125,-45.444413
Abaeté,2022,5,1345,-19.155125,-45.444413
Abaeté,2023,4,1345,-19.155125,-45.444413
Abre Campo,2010,2,1346,-20.299647,-42.474304
Abre Campo,2011,7,1346,-20.299647,-42.474304
Abre Campo,2012,6,1346,-20.299647,-42.474304
Abre Campo,2013,3,1346,-20.299647,-42.474304
Abre Campo,2014,3,1346,-20.299647,-42.474304
Abre Campo,2015,12,1346,-20.299647,-42.474304
Abre Campo,2016,1,1346,-20.299647,-42.474304
Abre Campo,2017,2,1346,-20.299647,-42.474304
Abre Campo,2018,2,1346,-20.299647,-42.474304
Abre Campo,2019,2,1346,-20.299647,-42.474304
Abre Campo,2020,6,1346,-20.299647,-42.474304
Abre Campo,2022,3,1346,-20.299647,-42.474304
Abre Campo,2023,3,1346,-20.299647,-42.474304
Acaiaca,2011,3,1347,-20.359034,-43.143867
Acaiaca,2012,2,1347,-20.359034,-43.143867
Acaiaca,2013,3,1347,-20.359034,-43.143867
Acaiaca,2014,1,1347,-20.359034,-43.143867
Acaiaca,2015,5,1347,-20.359034,-43.143867
Acaiaca,2016,1,1347,-20.359034,-43.143867
Acaiaca,2018,1,1347,-20.359034,-43.143867
Acaiaca,2019,1,1347,-20.359034,-43.143867
Acaiaca,2022,5,1347,-20.359034,-43.143867
Aguanil,2010,1,1351,-20.943942,-45.391456
Aguanil,2011,2,1351,-20.943942,-45.391456
Aguanil,2012,2,1351,-20.943942,-45.391456
Aguanil,2016,1,1351,-20.943942,-45.391456
Aguanil,2017,1,1351,-20.943942,-45.391456
Aguanil,2020,1,1351,-20.943942,-45.391456
Aguanil,2021,1,1351,-20.943942,-45.391456
Aguanil,2023,1,1351,-20.943942,-45.391456
Aimorés,2010,7,1354,-19.500684,-41.074651
Aimorés,2011,4,1354,-19.500684,-41.074651
Aimorés,2012,9,1354,-19.500684,-41.074651
Aimorés,2013,4,1354,-19.500684,-41.074651
Aimorés,2014,2,1354,-19.500684,-41.074651
Aimorés,2015,4,1354,-19.500684,-41.074651
Aimorés,2016,3,1354,-19.500684,-41.074651
Aimorés,2017,5,1354,-19.500684,-41.074651
Aimorés,2018,4,1354,-19.500684,-41.074651
Aimorés,2019,3,1354,-19.500684,-41.074651
Aimorés,2020,3,1354,-19.500684,-41.074651
Aimorés,2021,6,1354,-19.500684,-41.074651
Aimorés,2022,2,1354,-19.500684,-41.074651
Aimorés,2023,9,1354,-19.500684,-41.074651
Aiuruoca,2010,7,1355,-21.973608,-44.604212
Aiuruoca,2011,1,1355,-21.973608,-44.604212
Aiuruoca,2012,6,1355,-21.973608,-44.604212
Aiuruoca,2013,2,1355,-21.973608,-44.604212
Aiuruoca,2014,3,1355,-21.973608,-44.604212
Aiuruoca,2015,2,1355,-21.973608,-44.604212
Aiuruoca,2016,5,1355,-21.973608,-44.604212
Aiuruoca,2017,3,1355,-21.973608,-44.604212
Aiuruoca,2018,1,1355,-21.973608,-44.604212
Aiuruoca,2019,5,1355,-21.973608,-44.604212
Aiuruoca,2020,3,1355,-21.973608,-44.604212
Aiuruoca,2021,5,1355,-21.973608,-44.604212
Aiuruoca,2022,4,1355,-21.973608,-44.604212
Aiuruoca,2023,5,1355,-21.973608,-44.604212
Alagoa,2021,1,1356,-22.170976,-44.641344
Albertina,2021,1,1357,-22.201775,-46.613912
Albertina,2023,1,1357,-22.201775,-46.613912
Alfenas,2010,31,1359,-21.425629,-45.947727
Alfenas,2011,44,1359,-21.425629,-45.947727
Alfenas,2012,44,1359,-21.425629,-45.947727
Alfenas,2013,28,1359,-21.425629,-45.947727
Alfenas,2014,31,1359,-21.425629,-45.947727
Alfenas,2015,27,1359,-21.425629,-45.947727
Alfenas,2016,30,1359,-21.425629,-45.947727
Alfenas,2017,29,1359,-21.425629,-45.947727
Alfenas,2018,25,1359,-21.425629,-45.947727
Alfenas,2019,36,1359,-21.425629,-45.947727
Alfenas,2020,18,1359,-21.425629,-45.947727
Alfenas,2021,21,1359,-21.425629,-45.947727
Alfenas,2022,19,1359,-21.425629,-45.947727
Alfenas,2023,25,1359,-21.425629,-45.947727
Alfredo Vasconcelos,2010,7,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2011,2,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2012,1,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2013,5,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2014,3,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2015,4,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2016,3,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2017,2,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2018,1,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2019,3,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2020,1,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2021,1,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2022,4,1360,-21.153521,-43.771767
Alfredo Vasconcelos,2023,8,1360,-21.153521,-43.771767
Almenara,2010,5,1361,-16.178459,-40.694163
Almenara,2011,5,1361,-16.178459,-40.694163
Almenara,2012,5,1361,-16.178459,-40.694163
Almenara,2013,9,1361,-16.178459,-40.694163
Almenara,2014,5,1361,-16.178459,-40.694163
Almenara,2015,11,1361,-16.178459,-40.694163
Almenara,2016,9,1361,-16.178459,-40.694163
Almenara,2017,7,1361,-16.178459,-40.694163
Almenara,2018,3,1361,-16.178459,-40.694163
Almenara,2019,3,1361,-16.178459,-40.694163
Almenara,2020,2,1361,-16.178459,-40.694163
Almenara,2021,5,1361,-16.178459,-40.694163
Almenara,2022,4,1361,-16.178459,-40.694163
